p,,,,,,,,,,,,,,p,p,,,,,,p
p,,p,p,p,p,p,p,p,p,p,p,,p,,p,,p,p,p,,p
p,,,,,,,,,,,p,,p,,p,,p,p,p,x,p
p,p,p,p,p,p,p,p,p,p,,p,,,,p,,p,p,,p,p
p,,,,,,,,,,,p,,p,p,p,,p,,,,p
p,,p,p,,p,p,p,p,p,,p,,p,,,,,,p,,p
p,,p,p,,p,,,,p,,p,,p,p,p,p,p,p,p,,
p,,,p,,p,p,p,,p,,p,,p,,,,,p,p,,p
p,p,,p,,,p,p,,p,,p,,p,,p,p,,,p,,p
p,,p,p,p,p,p,p,,p,,p,,p,,p,p,p,,p,,p
p,,p,,,,,p,,p,,p,,p,,,p,p,,p,,
p,,p,,p,p,,,,,,p,,p,p,,,p,,p,,p
p,,p,,p,p,p,p,p,p,p,p,,p,p,p,,p,,p,,p
p,,p,,,,,p,,,,p,,p,p,,,p,,p,,p
p,,p,p,p,p,,p,p,p,,p,,p,,,p,p,,,,p
,,,,,,,,,,,p,,,,p,p,p,p,p,p,p
N,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
